"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0024401,18.468,13.249,24.732,7.9536e+20,3.8042e-05,-1.3737,36.09,1208.1,1251.9,90.814,1206.5,94014,0.048203,0.048085,0.0015604,0.0014148,1,0,0.04815,0.0015,0
0.0024401,18.468,13.249,24.732,7.9536e+20,3.8042e-05,-1.3737,36.09,1208.1,1251.9,90.814,1206.5,94014,0.048203,0.048085,0.0015604,0.0014148,1,4.5151e-05,0.048195,0.0015,0
0.0024484,18.531,13.354,54.893,7.944e+20,3.8002e-05,-2.3277,43.08,1219.7,1301.7,94.253,1217.5,94015,0.048322,0.048203,0.0015604,0.0014148,1,9.0301e-05,0.04824,0.0015,0
0.0024484,18.531,13.354,54.893,7.944e+20,3.8002e-05,-2.3277,43.08,1219.7,1301.7,94.253,1217.5,94015,0.048322,0.048203,0.0015604,0.0014148,1,0.00013545,0.048285,0.0015,0
0.0024836,18.797,13.634,54.484,7.8848e+20,3.77e-05,1.2482,43.568,1254.6,1360.9,92.452,1252.4,94016,0.048441,0.048322,0.0015604,0.0014148,1,0.0001806,0.048331,0.0015,0
0.0024836,18.797,13.634,54.484,7.8848e+20,3.77e-05,1.2482,43.568,1254.6,1360.9,92.452,1252.4,94016,0.048441,0.048322,0.0015604,0.0014148,1,0.00022575,0.048376,0.0015,0
0.0024836,18.797,13.634,54.484,7.8848e+20,3.77e-05,1.2482,43.568,1254.6,1360.9,92.452,1252.4,94016,0.048441,0.048322,0.0015604,0.0014148,1,0.0002709,0.048421,0.0015,0
0.0025463,19.272,13.778,53.508,7.7435e+20,3.7042e-05,-6.0221,51.126,1291.8,1389.9,92.557,1288.7,94017,0.048559,0.048441,0.0015604,0.0014148,1,0.00031605,0.048466,0.0015,0
0.0025463,19.272,13.778,53.508,7.7435e+20,3.7042e-05,-6.0221,51.126,1291.8,1389.9,92.557,1288.7,94017,0.048559,0.048441,0.0015604,0.0014148,1,0.0003612,0.048511,0.0015,0
0.0025463,19.272,13.778,53.508,7.7435e+20,3.7042e-05,-6.0221,51.126,1291.8,1389.9,92.557,1288.7,94017,0.048559,0.048441,0.0015604,0.0014148,1,0.00040635,0.048556,0.0015,0
