"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0017815,11.162,18.409,46.789,1.0925e+21,5.2261e-05,0.025809,33.563,1221.9,1234.2,91.106,1220.5,75134,0.048203,0.048085,0.003044,0.0028434,1,0,0.04815,0.003,0
0.0017815,11.162,18.409,46.789,1.0925e+21,5.2261e-05,0.025809,33.563,1221.9,1234.2,91.106,1220.5,75134,0.048203,0.048085,0.003044,0.0028434,1,4.5151e-05,0.048195,0.003,0
0.0018342,11.493,18.474,101.63,1.0678e+21,5.1091e-05,-1.7114,36.61,1254.7,1304.7,95.442,1253.2,75135,0.048322,0.048203,0.003044,0.0028434,1,9.0301e-05,0.04824,0.003,0
0.0018342,11.493,18.474,101.63,1.0678e+21,5.1091e-05,-1.7114,36.61,1254.7,1304.7,95.442,1253.2,75135,0.048322,0.048203,0.003044,0.0028434,1,0.00013545,0.048285,0.003,0
0.001865,11.686,18.52,100.32,1.054e+21,5.0421e-05,-0.57763,40.972,1274.6,1336.9,92.846,1272.6,75136,0.048441,0.048322,0.003044,0.0028434,1,0.0001806,0.048331,0.003,0
0.001865,11.686,18.52,100.32,1.054e+21,5.0421e-05,-0.57763,40.972,1274.6,1336.9,92.846,1272.6,75136,0.048441,0.048322,0.003044,0.0028434,1,0.00022575,0.048376,0.003,0
0.001865,11.686,18.52,100.32,1.054e+21,5.0421e-05,-0.57763,40.972,1274.6,1336.9,92.846,1272.6,75136,0.048441,0.048322,0.003044,0.0028434,1,0.0002709,0.048421,0.003,0
0.0019204,12.033,18.816,98.282,1.0326e+21,4.9428e-05,-3.2731,46.208,1322.2,1362.2,93.303,1319.8,75137,0.048559,0.048441,0.003044,0.0028434,1,0.00031605,0.048466,0.003,0
0.0019204,12.033,18.816,98.282,1.0326e+21,4.9428e-05,-3.2731,46.208,1322.2,1362.2,93.303,1319.8,75137,0.048559,0.048441,0.003044,0.0028434,1,0.0003612,0.048511,0.003,0
0.0019204,12.033,18.816,98.282,1.0326e+21,4.9428e-05,-3.2731,46.208,1322.2,1362.2,93.303,1319.8,75137,0.048559,0.048441,0.003044,0.0028434,1,0.00040635,0.048556,0.003,0
0.0019443,12.182,19.042,97.532,1.0248e+21,4.9032e-05,-7.3776,52.968,1349.3,1391.3,95.392,1345.9,75138,0.048678,0.048559,0.003044,0.0028434,1,0.0004515,0.048602,0.003,0
0.0019443,12.182,19.042,97.532,1.0248e+21,4.9032e-05,-7.3776,52.968,1349.3,1391.3,95.392,1345.9,75138,0.048678,0.048559,0.003044,0.0028434,1,0.00049665,0.048647,0.003,0
0.001985,12.438,19.045,95.915,1.0078e+21,4.8214e-05,-11.575,56.313,1372.6,1442.5,98.072,1368.8,75139,0.048797,0.048678,0.003044,0.0028434,1,0.0005418,0.048692,0.003,0
0.001985,12.438,19.045,95.915,1.0078e+21,4.8214e-05,-11.575,56.313,1372.6,1442.5,98.072,1368.8,75139,0.048797,0.048678,0.003044,0.0028434,1,0.00058695,0.048737,0.003,0
0.001985,12.438,19.045,95.915,1.0078e+21,4.8214e-05,-11.575,56.313,1372.6,1442.5,98.072,1368.8,75139,0.048797,0.048678,0.003044,0.0028434,1,0.0006321,0.048782,0.003,0
0.0020024,12.546,19.26,95.453,1.0029e+21,4.7982e-05,-6.7874,57.361,1394.8,1497.5,94.32,1391,75140,0.048915,0.048797,0.003044,0.0028434,1,0.00067725,0.048827,0.003,0
0.0020024,12.546,19.26,95.453,1.0029e+21,4.7982e-05,-6.7874,57.361,1394.8,1497.5,94.32,1391,75140,0.048915,0.048797,0.003044,0.0028434,1,0.0007224,0.048872,0.003,0
0.002064,12.932,19.406,93.285,9.8013e+20,4.6894e-05,-12.359,57.69,1438.1,1536.9,94.548,1434.1,75141,0.049034,0.048915,0.003044,0.0028434,1,0.00076755,0.048918,0.003,0
0.002064,12.932,19.406,93.285,9.8013e+20,4.6894e-05,-12.359,57.69,1438.1,1536.9,94.548,1434.1,75141,0.049034,0.048915,0.003044,0.0028434,1,0.0008127,0.048963,0.003,0
0.002064,12.932,19.406,93.285,9.8013e+20,4.6894e-05,-12.359,57.69,1438.1,1536.9,94.548,1434.1,75141,0.049034,0.048915,0.003044,0.0028434,1,0.00085785,0.049008,0.003,0
0.0020944,13.123,19.73,92.487,9.7175e+20,4.6491e-05,-11.593,59.483,1474.9,1533.4,94.121,1470.6,75142,0.049153,0.049034,0.003044,0.0028434,1,0.000903,0.049053,0.003,0
