"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00070709,4.4305,5.6656,174.38,1.8322e+21,8.8066e-05,7454.9,0.94459,64716,219.94,0.012937,223.97,88888,3.3898e-05,-8.4746e-05,0.0060522,0.0058516,1,0,0,0.006,0
0.0007102,4.45,5.625,173.53,1.8232e+21,8.7635e-05,7455.4,1.3555,64727,220.25,0.013001,223.46,88889,0.00015254,3.3898e-05,0.0060522,0.0058516,1,4.515e-05,4.515e-05,0.006,0
0.0007102,4.45,5.625,173.53,1.8232e+21,8.7635e-05,7455.4,1.3555,64727,220.25,0.013001,223.46,88889,0.00015254,3.3898e-05,0.0060522,0.0058516,1,9.03e-05,9.03e-05,0.006,0
0.0007102,4.45,5.625,173.53,1.8232e+21,8.7635e-05,7455.4,1.3555,64727,220.25,0.013001,223.46,88889,0.00015254,3.3898e-05,0.0060522,0.0058516,1,0.00013545,0.00013545,0.006,0
0.00070986,4.4478,5.6669,173.84,1.8265e+21,8.7781e-05,7455.4,-0.43412,64716,219.41,0,224.71,88890,0.00027119,0.00015254,0.0060522,0.0058516,1,0.0001806,0.0001806,0.006,0
0.00070986,4.4478,5.6669,173.84,1.8265e+21,8.7781e-05,7455.4,-0.43412,64716,219.41,0,224.71,88890,0.00027119,0.00015254,0.0060522,0.0058516,1,0.00022575,0.00022575,0.006,0
0.00070986,4.4478,5.6669,173.84,1.8265e+21,8.7781e-05,7455.4,-0.43412,64716,219.41,0,224.71,88890,0.00027119,0.00015254,0.0060522,0.0058516,1,0.0002709,0.0002709,0.006,0
0.00071457,4.4774,5.5912,172.47,1.8121e+21,8.7088e-05,7455.6,-0.32244,64720,220.27,0.013081,223.48,88891,0.00038983,0.00027119,0.0060522,0.0058516,1,0.00031605,0.00031605,0.006,0
0.00071457,4.4774,5.5912,172.47,1.8121e+21,8.7088e-05,7455.6,-0.32244,64720,220.27,0.013081,223.48,88891,0.00038983,0.00027119,0.0060522,0.0058516,1,0.0003612,0.0003612,0.006,0
0.00070823,4.4376,5.6048,173.79,1.826e+21,8.7778e-05,7454.8,0.04301,64720,220.37,0.025962,222.31,88892,0.00050847,0.00038983,0.0060522,0.0058516,1,0.00040635,0.00040635,0.006,0
0.00070823,4.4376,5.6048,173.79,1.826e+21,8.7778e-05,7454.8,0.04301,64720,220.37,0.025962,222.31,88892,0.00050847,0.00038983,0.0060522,0.0058516,1,0.0004515,0.0004515,0.006,0
0.00070823,4.4376,5.6048,173.79,1.826e+21,8.7778e-05,7454.8,0.04301,64720,220.37,0.025962,222.31,88892,0.00050847,0.00038983,0.0060522,0.0058516,1,0.00049665,0.00049665,0.006,0
0.00071505,4.4803,5.6639,172.81,1.8157e+21,8.7287e-05,7456,1.1028,64750,221.2,0.02611,225.94,88893,0.00062712,0.00050847,0.0060522,0.0058516,1,0.0005418,0.0005418,0.006,0
0.00071505,4.4803,5.6639,172.81,1.8157e+21,8.7287e-05,7456,1.1028,64750,221.2,0.02611,225.94,88893,0.00062712,0.00050847,0.0060522,0.0058516,1,0.00058695,0.00058695,0.006,0
0.00071188,4.4605,5.6423,173.3,1.8208e+21,8.7511e-05,7455.6,0.56705,64724,219.81,0.026036,224.44,88894,0.00074576,0.00062712,0.0060522,0.0058516,1,0.0006321,0.0006321,0.006,0
0.00071188,4.4605,5.6423,173.3,1.8208e+21,8.7511e-05,7455.6,0.56705,64724,219.81,0.026036,224.44,88894,0.00074576,0.00062712,0.0060522,0.0058516,1,0.00067725,0.00067725,0.006,0
0.00071188,4.4605,5.6423,173.3,1.8208e+21,8.7511e-05,7455.6,0.56705,64724,219.81,0.026036,224.44,88894,0.00074576,0.00062712,0.0060522,0.0058516,1,0.0007224,0.0007224,0.006,0
0.00071283,4.4664,5.7014,173.46,1.8225e+21,8.7615e-05,7455.1,-0.39143,64733,222.02,0.013006,226.58,88895,0.00086441,0.00074576,0.0060522,0.0058516,1,0.00076755,0.00076755,0.006,0
