"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00074192,5.6153,6.6843,125.75,1.8199e+21,8.7467e-05,7451.7,1.3138,64700,223.28,0.044746,266.03,1.0305e+05,3.3898e-05,-8.4746e-05,0.0030165,0.0028709,1,0,0,0.003,0
0.00074111,5.6092,6.8065,126.31,1.8279e+21,8.786e-05,7451.9,1.3358,64713,223.33,0,269.71,1.0305e+05,0.00015254,3.3898e-05,0.0030165,0.0028709,1,4.515e-05,4.515e-05,0.003,0
0.00074111,5.6092,6.8065,126.31,1.8279e+21,8.786e-05,7451.9,1.3358,64713,223.33,0,269.71,1.0305e+05,0.00015254,3.3898e-05,0.0030165,0.0028709,1,9.03e-05,9.03e-05,0.003,0
0.00074111,5.6092,6.8065,126.31,1.8279e+21,8.786e-05,7451.9,1.3358,64713,223.33,0,269.71,1.0305e+05,0.00015254,3.3898e-05,0.0030165,0.0028709,1,0.00013545,0.00013545,0.003,0
0.00075157,5.6883,7.0744,125.82,1.8209e+21,8.7527e-05,7450.4,2.669,64701,221.98,0.08965,281.4,1.0305e+05,0.00027119,0.00015254,0.0030165,0.0028709,1,0.0001806,0.0001806,0.003,0
0.00075157,5.6883,7.0744,125.82,1.8209e+21,8.7527e-05,7450.4,2.669,64701,221.98,0.08965,281.4,1.0305e+05,0.00027119,0.00015254,0.0030165,0.0028709,1,0.00022575,0.00022575,0.003,0
0.00075157,5.6883,7.0744,125.82,1.8209e+21,8.7527e-05,7450.4,2.669,64701,221.98,0.08965,281.4,1.0305e+05,0.00027119,0.00015254,0.0030165,0.0028709,1,0.0002709,0.0002709,0.003,0
0.00075561,5.7189,7.315,126.09,1.8248e+21,8.77e-05,7446.6,1.6944,64633,225.59,0.017891,290.35,1.0305e+05,0.00038983,0.00027119,0.0030165,0.0028709,1,0.00031605,0.00031605,0.003,0
0.00075561,5.7189,7.315,126.09,1.8248e+21,8.77e-05,7446.6,1.6944,64633,225.59,0.017891,290.35,1.0305e+05,0.00038983,0.00027119,0.0030165,0.0028709,1,0.0003612,0.0003612,0.003,0
0.00074999,5.6764,7.0854,126.07,1.8245e+21,8.7699e-05,7448.4,2.8778,64664,225.45,0.053683,281.28,1.0305e+05,0.00050847,0.00038983,0.0030165,0.0028709,1,0.00040635,0.00040635,0.003,0
