"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00076748,6.9231,7.8639,112.29,1.8274e+21,8.7835e-05,7446.7,2.0042,64662,223.99,0.21061,311.69,1.3816e+05,3.06e-05,-8.07e-05,0.0023479,0.0022375,1,0,0,0.00225,0
0.00077892,7.0262,8.3248,112.19,1.8258e+21,8.775e-05,7443.1,3.5223,64616,228.52,0.080437,330.25,1.3816e+05,0.0001419,3.06e-05,0.0023479,0.0022375,1,4.515e-05,4.515e-05,0.00225,0
0.00077892,7.0262,8.3248,112.19,1.8258e+21,8.775e-05,7443.1,3.5223,64616,228.52,0.080437,330.25,1.3816e+05,0.0001419,3.06e-05,0.0023479,0.0022375,1,9.03e-05,9.03e-05,0.00225,0
0.00077892,7.0262,8.3248,112.19,1.8258e+21,8.775e-05,7443.1,3.5223,64616,228.52,0.080437,330.25,1.3816e+05,0.0001419,3.06e-05,0.0023479,0.0022375,1,0.00013545,0.00013545,0.00225,0
0.00079394,7.1617,8.9436,112.02,1.823e+21,8.7627e-05,7441.5,4.8963,64620,228.02,0.070374,355.35,1.3816e+05,0.0002532,0.0001419,0.0023479,0.0022375,1,0.0001806,0.0001806,0.00225,0
0.00079394,7.1617,8.9436,112.02,1.823e+21,8.7627e-05,7441.5,4.8963,64620,228.02,0.070374,355.35,1.3816e+05,0.0002532,0.0001419,0.0023479,0.0022375,1,0.00022575,0.00022575,0.00225,0
0.00079759,7.1947,9.2218,112.27,1.827e+21,8.7823e-05,7441.5,5.0087,64631,229.59,0.090312,365.58,1.3817e+05,0.0003645,0.0002532,0.0023479,0.0022375,1,0.0002709,0.0002709,0.00225,0
0.00079759,7.1947,9.2218,112.27,1.827e+21,8.7823e-05,7441.5,5.0087,64631,229.59,0.090312,365.58,1.3817e+05,0.0003645,0.0002532,0.0023479,0.0022375,1,0.00031605,0.00031605,0.00225,0
0.00079759,7.1947,9.2218,112.27,1.827e+21,8.7823e-05,7441.5,5.0087,64631,229.59,0.090312,365.58,1.3817e+05,0.0003645,0.0002532,0.0023479,0.0022375,1,0.0003612,0.0003612,0.00225,0
0.00080902,7.2978,9.6314,111.92,1.8214e+21,8.7565e-05,7437.4,6.465,64587,231.88,0.22126,382.99,1.3817e+05,0.0004758,0.0003645,0.0023479,0.0022375,1,0.00040635,0.00040635,0.00225,0
0.00080902,7.2978,9.6314,111.92,1.8214e+21,8.7565e-05,7437.4,6.465,64587,231.88,0.22126,382.99,1.3817e+05,0.0004758,0.0003645,0.0023479,0.0022375,1,0.0004515,0.0004515,0.00225,0
0.00081355,7.3387,10.079,112.4,1.8293e+21,8.7902e-05,7436.3,6.9725,64553,233.73,0.11027,399.09,1.3817e+05,0.0005871,0.0004758,0.0023479,0.0022375,1,0.00049665,0.00049665,0.00225,0
0.00081355,7.3387,10.079,112.4,1.8293e+21,8.7902e-05,7436.3,6.9725,64553,233.73,0.11027,399.09,1.3817e+05,0.0005871,0.0004758,0.0023479,0.0022375,1,0.0005418,0.0005418,0.00225,0
0.00081355,7.3387,10.079,112.4,1.8293e+21,8.7902e-05,7436.3,6.9725,64553,233.73,0.11027,399.09,1.3817e+05,0.0005871,0.0004758,0.0023479,0.0022375,1,0.00058695,0.00058695,0.00225,0
0.00083115,7.4974,10.833,112.03,1.8232e+21,8.7607e-05,7432.2,7.8871,64510,233.93,0.16063,430.36,1.3817e+05,0.0006984,0.0005871,0.0023479,0.0022375,1,0.0006321,0.0006321,0.00225,0
0.00083115,7.4974,10.833,112.03,1.8232e+21,8.7607e-05,7432.2,7.8871,64510,233.93,0.16063,430.36,1.3817e+05,0.0006984,0.0005871,0.0023479,0.0022375,1,0.00067725,0.00067725,0.00225,0
0.00085064,7.6733,12.077,112.3,1.8275e+21,8.7826e-05,7428.2,10.656,64499,233.68,0.21036,478.64,1.3817e+05,0.0008097,0.0006984,0.0023479,0.0022375,1,0.0007224,0.0007224,0.00225,0
0.00085064,7.6733,12.077,112.3,1.8275e+21,8.7826e-05,7428.2,10.656,64499,233.68,0.21036,478.64,1.3817e+05,0.0008097,0.0006984,0.0023479,0.0022375,1,0.00076755,0.00076755,0.00225,0
0.00085542,7.7163,12.599,112.71,1.8342e+21,8.8178e-05,7425.7,10.44,64496,237.62,0.27976,497.49,1.3817e+05,0.000921,0.0008097,0.0023479,0.0022375,1,0.0008127,0.0008127,0.00225,0
0.00085542,7.7163,12.599,112.71,1.8342e+21,8.8178e-05,7425.7,10.44,64496,237.62,0.27976,497.49,1.3817e+05,0.000921,0.0008097,0.0023479,0.0022375,1,0.00085785,0.00085785,0.00225,0
0.00085542,7.7163,12.599,112.71,1.8342e+21,8.8178e-05,7425.7,10.44,64496,237.62,0.27976,497.49,1.3817e+05,0.000921,0.0008097,0.0023479,0.0022375,1,0.000903,0.000903,0.00225,0
0.00086379,7.7918,13.252,112.93,1.8378e+21,8.8349e-05,7422.3,13.031,64464,239.69,0.13961,522.27,1.3817e+05,0.0010323,0.000921,0.0023479,0.0022375,1,0.00094815,0.00094815,0.00225,0
0.00086379,7.7918,13.252,112.93,1.8378e+21,8.8349e-05,7422.3,13.031,64464,239.69,0.13961,522.27,1.3817e+05,0.0010323,0.000921,0.0023479,0.0022375,1,0.0009933,0.0009933,0.00225,0
0.00089131,8.0401,14.689,112.32,1.828e+21,8.7872e-05,7415.9,14.85,64409,245.32,0.24079,582.03,1.3817e+05,0.0011436,0.0010323,0.0023479,0.0022375,1,0.0010385,0.0010385,0.00225,0
0.00089131,8.0401,14.689,112.32,1.828e+21,8.7872e-05,7415.9,14.85,64409,245.32,0.24079,582.03,1.3817e+05,0.0011436,0.0010323,0.0023479,0.0022375,1,0.0010836,0.0010836,0.00225,0
0.00089131,8.0401,14.689,112.32,1.828e+21,8.7872e-05,7415.9,14.85,64409,245.32,0.24079,582.03,1.3817e+05,0.0011436,0.0010323,0.0023479,0.0022375,1,0.0011288,0.0011288,0.00225,0
