"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00085824,7.7417,12.933,112.98,1.8387e+21,8.8373e-05,7426.4,7.3122,64508,234.18,0.28873,509.44,1.3116e+05,3.06e-05,-8.07e-05,0.001575,0.0014646,1,0,0,0.0015,0
0.00088038,7.9414,14.093,112.54,1.8315e+21,8.8061e-05,7420,8.1723,64469,239.35,0.25023,557.32,1.3116e+05,0.0001419,3.06e-05,0.001575,0.0014646,1,4.515e-05,4.515e-05,0.0015,0
0.00088038,7.9414,14.093,112.54,1.8315e+21,8.8061e-05,7420,8.1723,64469,239.35,0.25023,557.32,1.3116e+05,0.0001419,3.06e-05,0.001575,0.0014646,1,9.03e-05,9.03e-05,0.0015,0
0.00088038,7.9414,14.093,112.54,1.8315e+21,8.8061e-05,7420,8.1723,64469,239.35,0.25023,557.32,1.3116e+05,0.0001419,3.06e-05,0.001575,0.0014646,1,0.00013545,0.00013545,0.0015,0
0.00089481,8.0717,14.912,112.3,1.8275e+21,8.7842e-05,7414.8,11.492,64393,236.15,0.33091,591.01,1.3116e+05,0.0002532,0.0001419,0.001575,0.0014646,1,0.0001806,0.0001806,0.0015,0
0.00089481,8.0717,14.912,112.3,1.8275e+21,8.7842e-05,7414.8,11.492,64393,236.15,0.33091,591.01,1.3116e+05,0.0002532,0.0001419,0.001575,0.0014646,1,0.00022575,0.00022575,0.0015,0
0.00089897,8.1092,15.925,113.31,1.844e+21,8.8627e-05,7410.1,11.249,64342,243.33,0.34786,625.5,1.3117e+05,0.0003645,0.0002532,0.001575,0.0014646,1,0.0002709,0.0002709,0.0015,0
0.00089897,8.1092,15.925,113.31,1.844e+21,8.8627e-05,7410.1,11.249,64342,243.33,0.34786,625.5,1.3117e+05,0.0003645,0.0002532,0.001575,0.0014646,1,0.00031605,0.00031605,0.0015,0
0.00089897,8.1092,15.925,113.31,1.844e+21,8.8627e-05,7410.1,11.249,64342,243.33,0.34786,625.5,1.3117e+05,0.0003645,0.0002532,0.001575,0.0014646,1,0.0003612,0.0003612,0.0015,0
0.00093806,8.4618,18.577,112.8,1.8357e+21,8.8241e-05,7399.6,15.422,64278,250.72,0.61863,732.99,1.3117e+05,0.0004758,0.0003645,0.001575,0.0014646,1,0.00040635,0.00040635,0.0015,0
0.00093806,8.4618,18.577,112.8,1.8357e+21,8.8241e-05,7399.6,15.422,64278,250.72,0.61863,732.99,1.3117e+05,0.0004758,0.0003645,0.001575,0.0014646,1,0.0004515,0.0004515,0.0015,0
0.00095246,8.5917,20.229,113.27,1.8434e+21,8.8599e-05,7391.5,17.686,64191,252.3,0.45716,794.8,1.3117e+05,0.0005871,0.0004758,0.001575,0.0014646,1,0.00049665,0.00049665,0.0015,0
0.00095246,8.5917,20.229,113.27,1.8434e+21,8.8599e-05,7391.5,17.686,64191,252.3,0.45716,794.8,1.3117e+05,0.0005871,0.0004758,0.001575,0.0014646,1,0.0005418,0.0005418,0.0015,0
0.00095246,8.5917,20.229,113.27,1.8434e+21,8.8599e-05,7391.5,17.686,64191,252.3,0.45716,794.8,1.3117e+05,0.0005871,0.0004758,0.001575,0.0014646,1,0.00058695,0.00058695,0.0015,0
0.00097103,8.7592,21.538,112.88,1.8371e+21,8.8306e-05,7384.5,23.249,64134,261.65,0.6386,849.14,1.3117e+05,0.0006984,0.0005871,0.001575,0.0014646,1,0.0006321,0.0006321,0.0015,0
0.00097103,8.7592,21.538,112.88,1.8371e+21,8.8306e-05,7384.5,23.249,64134,261.65,0.6386,849.14,1.3117e+05,0.0006984,0.0005871,0.001575,0.0014646,1,0.00067725,0.00067725,0.0015,0
0.00099222,8.9504,24.21,113.48,1.8467e+21,8.8755e-05,7374,26.108,64045,270.25,0.74427,949.54,1.3117e+05,0.0008097,0.0006984,0.001575,0.0014646,1,0.0007224,0.0007224,0.0015,0
0.00099222,8.9504,24.21,113.48,1.8467e+21,8.8755e-05,7374,26.108,64045,270.25,0.74427,949.54,1.3117e+05,0.0008097,0.0006984,0.001575,0.0014646,1,0.00076755,0.00076755,0.0015,0
0.0010041,9.0578,25.785,113.77,1.8515e+21,8.8985e-05,7366.6,29.758,63978,280.37,0.52446,1008.7,1.3117e+05,0.000921,0.0008097,0.001575,0.0014646,1,0.0008127,0.0008127,0.0015,0
