"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0035923,32.404,9.2202,22.026,5.428e+20,2.5977e-05,0.016136,69.449,1235.9,1317.3,98.201,1230.3,1.316e+05,0.048224,0.048112,0.001575,0.0014646,1,0,0.04815,0.0015,0
0.0035923,32.404,9.2202,22.026,5.428e+20,2.5977e-05,0.016136,69.449,1235.9,1317.3,98.201,1230.3,1.316e+05,0.048224,0.048112,0.001575,0.0014646,1,4.5151e-05,0.048195,0.0015,0
0.0036649,33.059,9.3668,32.92,5.3575e+20,2.5641e-05,-7.6005,75.386,1273,1395.9,101.44,1266.3,1.316e+05,0.048335,0.048224,0.001575,0.0014646,1,9.0301e-05,0.04824,0.0015,0
0.0036649,33.059,9.3668,32.92,5.3575e+20,2.5641e-05,-7.6005,75.386,1273,1395.9,101.44,1266.3,1.316e+05,0.048335,0.048224,0.001575,0.0014646,1,0.00013545,0.048285,0.0015,0
0.0036649,33.059,9.3668,32.92,5.3575e+20,2.5641e-05,-7.6005,75.386,1273,1395.9,101.44,1266.3,1.316e+05,0.048335,0.048224,0.001575,0.0014646,1,0.0001806,0.048331,0.0015,0
0.0037537,33.861,10.081,32.753,5.3303e+20,2.5506e-05,-12.419,74.07,1376.4,1463.1,91.389,1369.9,1.316e+05,0.048446,0.048335,0.001575,0.0014646,1,0.00022575,0.048376,0.0015,0
0.0037537,33.861,10.081,32.753,5.3303e+20,2.5506e-05,-12.419,74.07,1376.4,1463.1,91.389,1369.9,1.316e+05,0.048446,0.048335,0.001575,0.0014646,1,0.0002709,0.048421,0.0015,0
0.0038028,34.303,10.64,32.752,5.3301e+20,2.5496e-05,-13.447,69.491,1451.7,1515.5,100.94,1445.9,1.316e+05,0.048557,0.048446,0.001575,0.0014646,1,0.00031605,0.048466,0.0015,0
0.0038028,34.303,10.64,32.752,5.3301e+20,2.5496e-05,-13.447,69.491,1451.7,1515.5,100.94,1445.9,1.316e+05,0.048557,0.048446,0.001575,0.0014646,1,0.0003612,0.048511,0.0015,0
0.0038028,34.303,10.64,32.752,5.3301e+20,2.5496e-05,-13.447,69.491,1451.7,1515.5,100.94,1445.9,1.316e+05,0.048557,0.048446,0.001575,0.0014646,1,0.00040635,0.048556,0.0015,0
0.0038671,34.883,11.331,32.708,5.323e+20,2.5479e-05,-0.94663,52.772,1545.1,1623.8,99.876,1541.8,1.316e+05,0.048669,0.048557,0.001575,0.0014646,1,0.0004515,0.048602,0.0015,0
0.0038671,34.883,11.331,32.708,5.323e+20,2.5479e-05,-0.94663,52.772,1545.1,1623.8,99.876,1541.8,1.316e+05,0.048669,0.048557,0.001575,0.0014646,1,0.00049665,0.048647,0.0015,0
