"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0041665,26.106,11.27,21.445,5.0071e+20,2.3956e-05,2.857,48.199,1633.1,1835.2,86.072,1630.3,1.0345e+05,0.048203,0.048085,0.0090604,0.0088599,1,0,0.04815,0.009,0
0.0041665,26.106,11.27,21.445,5.0071e+20,2.3956e-05,2.857,48.199,1633.1,1835.2,86.072,1630.3,1.0345e+05,0.048203,0.048085,0.0090604,0.0088599,1,4.5151e-05,0.048195,0.009,0
0.0041944,26.282,11.723,47.762,5.0183e+20,2.4005e-05,5.3449,54.098,1695.5,1973.6,92.254,1692,1.0346e+05,0.048322,0.048203,0.0090604,0.0088599,1,9.0301e-05,0.04824,0.009,0
0.0041944,26.282,11.723,47.762,5.0183e+20,2.4005e-05,5.3449,54.098,1695.5,1973.6,92.254,1692,1.0346e+05,0.048322,0.048203,0.0090604,0.0088599,1,0.00013545,0.048285,0.009,0
0.0042936,26.903,12.313,47.318,4.9716e+20,2.3787e-05,4.6381,47.057,1796.5,2054.3,91.946,1793.9,1.0346e+05,0.048441,0.048322,0.0090604,0.0088599,1,0.0001806,0.048331,0.009,0
0.0042936,26.903,12.313,47.318,4.9716e+20,2.3787e-05,4.6381,47.057,1796.5,2054.3,91.946,1793.9,1.0346e+05,0.048441,0.048322,0.0090604,0.0088599,1,0.00022575,0.048376,0.009,0
0.0042936,26.903,12.313,47.318,4.9716e+20,2.3787e-05,4.6381,47.057,1796.5,2054.3,91.946,1793.9,1.0346e+05,0.048441,0.048322,0.0090604,0.0088599,1,0.0002709,0.048421,0.009,0
0.0043242,27.094,12.869,47.452,4.9857e+20,2.386e-05,18.387,38.932,1871.7,2163,90.524,1869.6,1.0346e+05,0.048559,0.048441,0.0090604,0.0088599,1,0.00031605,0.048466,0.009,0
0.0043242,27.094,12.869,47.452,4.9857e+20,2.386e-05,18.387,38.932,1871.7,2163,90.524,1869.6,1.0346e+05,0.048559,0.048441,0.0090604,0.0088599,1,0.0003612,0.048511,0.009,0
0.0043242,27.094,12.869,47.452,4.9857e+20,2.386e-05,18.387,38.932,1871.7,2163,90.524,1869.6,1.0346e+05,0.048559,0.048441,0.0090604,0.0088599,1,0.00040635,0.048556,0.009,0
0.004346,27.231,13.633,47.79,5.0212e+20,2.4015e-05,17.204,30.398,1967.9,2296.1,90.925,1966.5,1.0346e+05,0.048678,0.048559,0.0090604,0.0088599,1,0.0004515,0.048602,0.009,0
0.004346,27.231,13.633,47.79,5.0212e+20,2.4015e-05,17.204,30.398,1967.9,2296.1,90.925,1966.5,1.0346e+05,0.048678,0.048559,0.0090604,0.0088599,1,0.00049665,0.048647,0.009,0
0.0044096,27.63,14.608,47.869,5.0295e+20,2.4073e-05,26.794,6.832,2104.6,2357.5,86.662,2103.7,1.0346e+05,0.048797,0.048678,0.0090604,0.0088599,1,0.0005418,0.048692,0.009,0
0.0044096,27.63,14.608,47.869,5.0295e+20,2.4073e-05,26.794,6.832,2104.6,2357.5,86.662,2103.7,1.0346e+05,0.048797,0.048678,0.0090604,0.0088599,1,0.00058695,0.048737,0.009,0
0.0044096,27.63,14.608,47.869,5.0295e+20,2.4073e-05,26.794,6.832,2104.6,2357.5,86.662,2103.7,1.0346e+05,0.048797,0.048678,0.0090604,0.0088599,1,0.0006321,0.048782,0.009,0
0.0045194,28.318,15.122,47.244,4.9639e+20,2.3744e-05,41.962,-11.87,2208.7,2473.8,87.421,2206.5,1.0346e+05,0.048915,0.048797,0.0090604,0.0088599,1,0.00067725,0.048827,0.009,0
0.0045194,28.318,15.122,47.244,4.9639e+20,2.3744e-05,41.962,-11.87,2208.7,2473.8,87.421,2206.5,1.0346e+05,0.048915,0.048797,0.0090604,0.0088599,1,0.0007224,0.048872,0.009,0
0.0045686,28.626,16.25,47.49,4.9897e+20,2.3858e-05,47.16,-40.629,2363.5,2655.2,88.037,2358.9,1.0346e+05,0.049034,0.048915,0.0090604,0.0088599,1,0.00076755,0.048918,0.009,0
0.0045686,28.626,16.25,47.49,4.9897e+20,2.3858e-05,47.16,-40.629,2363.5,2655.2,88.037,2358.9,1.0346e+05,0.049034,0.048915,0.0090604,0.0088599,1,0.0008127,0.048963,0.009,0
0.0045686,28.626,16.25,47.49,4.9897e+20,2.3858e-05,47.16,-40.629,2363.5,2655.2,88.037,2358.9,1.0346e+05,0.049034,0.048915,0.0090604,0.0088599,1,0.00085785,0.049008,0.009,0
0.0046279,28.997,16.889,47.351,4.9751e+20,2.3803e-05,68.838,-61.315,2468.6,2729.3,89.209,2458.7,1.0346e+05,0.049153,0.049034,0.0090604,0.0088599,1,0.000903,0.049053,0.009,0
0.0046279,28.997,16.889,47.351,4.9751e+20,2.3803e-05,68.838,-61.315,2468.6,2729.3,89.209,2458.7,1.0346e+05,0.049153,0.049034,0.0090604,0.0088599,1,0.00094815,0.049098,0.009,0
0.0046279,28.997,16.889,47.351,4.9751e+20,2.3803e-05,68.838,-61.315,2468.6,2729.3,89.209,2458.7,1.0346e+05,0.049153,0.049034,0.0090604,0.0088599,1,0.0009933,0.049143,0.009,0
0.0046426,29.089,17.961,47.796,5.0218e+20,2.4007e-05,80.343,-92.629,2607.8,2906,85.424,2590.5,1.0346e+05,0.049271,0.049153,0.0090604,0.0088599,1,0.0010385,0.049188,0.009,0
0.0046426,29.089,17.961,47.796,5.0218e+20,2.4007e-05,80.343,-92.629,2607.8,2906,85.424,2590.5,1.0346e+05,0.049271,0.049153,0.0090604,0.0088599,1,0.0010836,0.049234,0.009,0
0.004715,29.543,19.116,47.776,5.0198e+20,2.4009e-05,100.82,-121.39,2787.1,2976.9,87.038,2758.2,1.0346e+05,0.04939,0.049271,0.0090604,0.0088599,1,0.0011288,0.049279,0.009,0
0.004715,29.543,19.116,47.776,5.0198e+20,2.4009e-05,100.82,-121.39,2787.1,2976.9,87.038,2758.2,1.0346e+05,0.04939,0.049271,0.0090604,0.0088599,1,0.0011739,0.049324,0.009,0
0.004715,29.543,19.116,47.776,5.0198e+20,2.4009e-05,100.82,-121.39,2787.1,2976.9,87.038,2758.2,1.0346e+05,0.04939,0.049271,0.0090604,0.0088599,1,0.001219,0.049369,0.009,0
0.0047551,29.794,20.107,47.917,5.0346e+20,2.4073e-05,123.63,-162.84,2940.9,3146,85.486,2892.6,1.0347e+05,0.049508,0.04939,0.0090604,0.0088599,1,0.0012642,0.049414,0.009,0
0.0047551,29.794,20.107,47.917,5.0346e+20,2.4073e-05,123.63,-162.84,2940.9,3146,85.486,2892.6,1.0347e+05,0.049508,0.04939,0.0090604,0.0088599,1,0.0013094,0.049459,0.009,0
0.0047551,29.794,20.107,47.917,5.0346e+20,2.4073e-05,123.63,-162.84,2940.9,3146,85.486,2892.6,1.0347e+05,0.049508,0.04939,0.0090604,0.0088599,1,0.0013545,0.049504,0.009,0
0.0047687,29.88,21.24,48.317,5.0766e+20,2.43e-05,154.2,-203.08,3105.6,3307.7,87.875,3030.4,1.0347e+05,0.049627,0.049508,0.0090604,0.0088599,1,0.0013997,0.04955,0.009,0
0.0047687,29.88,21.24,48.317,5.0766e+20,2.43e-05,154.2,-203.08,3105.6,3307.7,87.875,3030.4,1.0347e+05,0.049627,0.049508,0.0090604,0.0088599,1,0.0014448,0.049595,0.009,0
0.0047993,30.071,22.523,48.617,5.1081e+20,2.4438e-05,182.42,-237.78,3297.4,3339.1,85.091,3193.6,1.0347e+05,0.049746,0.049627,0.0090604,0.0088599,1,0.00149,0.04964,0.009,0
0.0047993,30.071,22.523,48.617,5.1081e+20,2.4438e-05,182.42,-237.78,3297.4,3339.1,85.091,3193.6,1.0347e+05,0.049746,0.049627,0.0090604,0.0088599,1,0.0015351,0.049685,0.009,0
0.0047993,30.071,22.523,48.617,5.1081e+20,2.4438e-05,182.42,-237.78,3297.4,3339.1,85.091,3193.6,1.0347e+05,0.049746,0.049627,0.0090604,0.0088599,1,0.0015802,0.04973,0.009,0
0.0048313,30.272,24.213,49.039,5.1524e+20,2.4663e-05,210.68,-287.28,3550.4,3492.9,85.116,3403.7,1.0347e+05,0.049864,0.049746,0.0090604,0.0088599,1,0.0016254,0.049775,0.009,0
0.0048313,30.272,24.213,49.039,5.1524e+20,2.4663e-05,210.68,-287.28,3550.4,3492.9,85.116,3403.7,1.0347e+05,0.049864,0.049746,0.0090604,0.0088599,1,0.0016706,0.049821,0.009,0
0.0048077,30.124,25.191,49.612,5.2127e+20,2.4938e-05,234.01,-314.54,3677.8,3622.1,85.506,3500.3,1.0347e+05,0.049983,0.049864,0.0090604,0.0088599,1,0.0017157,0.049866,0.009,0
0.0048077,30.124,25.191,49.612,5.2127e+20,2.4938e-05,234.01,-314.54,3677.8,3622.1,85.506,3500.3,1.0347e+05,0.049983,0.049864,0.0090604,0.0088599,1,0.0017609,0.049911,0.009,0
0.0048077,30.124,25.191,49.612,5.2127e+20,2.4938e-05,234.01,-314.54,3677.8,3622.1,85.506,3500.3,1.0347e+05,0.049983,0.049864,0.0090604,0.0088599,1,0.001806,0.049956,0.009,0
0.0048048,30.106,26.506,50.127,5.2668e+20,2.5208e-05,272.58,-354.27,3876.1,3755.4,83.649,3645.1,1.0347e+05,0.050102,0.049983,0.0090604,0.0088599,1,0.0018512,0.050001,0.009,0
0.0048048,30.106,26.506,50.127,5.2668e+20,2.5208e-05,272.58,-354.27,3876.1,3755.4,83.649,3645.1,1.0347e+05,0.050102,0.049983,0.0090604,0.0088599,1,0.0018963,0.050046,0.009,0
0.0048048,30.106,26.506,50.127,5.2668e+20,2.5208e-05,272.58,-354.27,3876.1,3755.4,83.649,3645.1,1.0347e+05,0.050102,0.049983,0.0090604,0.0088599,1,0.0019414,0.050091,0.009,0
0.0048108,30.144,27.926,50.585,5.3149e+20,2.5446e-05,306.04,-392.23,4091.8,3832.8,83.563,3805.7,1.0347e+05,0.05022,0.050102,0.0090604,0.0088599,1,0.0019866,0.050137,0.009,0
0.0048108,30.144,27.926,50.585,5.3149e+20,2.5446e-05,306.04,-392.23,4091.8,3832.8,83.563,3805.7,1.0347e+05,0.05022,0.050102,0.0090604,0.0088599,1,0.0020318,0.050182,0.009,0
0.0048426,30.343,29.414,50.825,5.3401e+20,2.557e-05,346.08,-438.21,4350,3978.4,84.857,3989.5,1.0347e+05,0.050339,0.05022,0.0090604,0.0088599,1,0.0020769,0.050227,0.009,0
0.0048426,30.343,29.414,50.825,5.3401e+20,2.557e-05,346.08,-438.21,4350,3978.4,84.857,3989.5,1.0347e+05,0.050339,0.05022,0.0090604,0.0088599,1,0.0021221,0.050272,0.009,0
0.0048426,30.343,29.414,50.825,5.3401e+20,2.557e-05,346.08,-438.21,4350,3978.4,84.857,3989.5,1.0347e+05,0.050339,0.05022,0.0090604,0.0088599,1,0.0021672,0.050317,0.009,0
0.0048793,30.573,30.918,51.007,5.3592e+20,2.566e-05,385.94,-483.89,4621.4,4143,84.814,4178.6,1.0347e+05,0.050458,0.050339,0.0090604,0.0088599,1,0.0022123,0.050362,0.009,0
0.0048793,30.573,30.918,51.007,5.3592e+20,2.566e-05,385.94,-483.89,4621.4,4143,84.814,4178.6,1.0347e+05,0.050458,0.050339,0.0090604,0.0088599,1,0.0022575,0.050407,0.009,0
0.0048793,30.573,30.918,51.007,5.3592e+20,2.566e-05,385.94,-483.89,4621.4,4143,84.814,4178.6,1.0347e+05,0.050458,0.050339,0.0090604,0.0088599,1,0.0023027,0.050453,0.009,0
0.0048752,30.547,32.063,51.402,5.4007e+20,2.585e-05,424.24,-519.35,4819.7,4254.4,80.512,4300,1.0347e+05,0.050576,0.050458,0.0090604,0.0088599,1,0.0023478,0.050498,0.009,0
0.0048752,30.547,32.063,51.402,5.4007e+20,2.585e-05,424.24,-519.35,4819.7,4254.4,80.512,4300,1.0347e+05,0.050576,0.050458,0.0090604,0.0088599,1,0.002393,0.050543,0.009,0
0.0048799,30.576,33.81,51.892,5.4522e+20,2.6104e-05,473.69,-565.46,5120.5,4423.1,81.789,4491.5,1.0348e+05,0.050695,0.050576,0.0090604,0.0088599,1,0.0024381,0.050588,0.009,0
0.0048799,30.576,33.81,51.892,5.4522e+20,2.6104e-05,473.69,-565.46,5120.5,4423.1,81.789,4491.5,1.0348e+05,0.050695,0.050576,0.0090604,0.0088599,1,0.0024833,0.050633,0.009,0
0.0048799,30.576,33.81,51.892,5.4522e+20,2.6104e-05,473.69,-565.46,5120.5,4423.1,81.789,4491.5,1.0348e+05,0.050695,0.050576,0.0090604,0.0088599,1,0.0025284,0.050678,0.009,0
0.0048394,30.322,35.175,52.644,5.5312e+20,2.6479e-05,513.12,-606.38,5335.4,4493.6,80.086,4606.1,1.0348e+05,0.050814,0.050695,0.0090604,0.0088599,1,0.0025735,0.050724,0.009,0
0.0048394,30.322,35.175,52.644,5.5312e+20,2.6479e-05,513.12,-606.38,5335.4,4493.6,80.086,4606.1,1.0348e+05,0.050814,0.050695,0.0090604,0.0088599,1,0.0026187,0.050769,0.009,0
0.0048754,30.548,36.39,52.675,5.5345e+20,2.651e-05,564.86,-644.15,5611.2,4574.4,78.282,4762.3,1.0348e+05,0.050932,0.050814,0.0090604,0.0088599,1,0.0026639,0.050814,0.009,0
0.0048754,30.548,36.39,52.675,5.5345e+20,2.651e-05,564.86,-644.15,5611.2,4574.4,78.282,4762.3,1.0348e+05,0.050932,0.050814,0.0090604,0.0088599,1,0.002709,0.050859,0.009,0
0.0048754,30.548,36.39,52.675,5.5345e+20,2.651e-05,564.86,-644.15,5611.2,4574.4,78.282,4762.3,1.0348e+05,0.050932,0.050814,0.0090604,0.0088599,1,0.0027542,0.050904,0.009,0
0.004878,30.565,37.771,53.033,5.5721e+20,2.6692e-05,613.8,-689.38,5895.1,4810.7,76.014,4909.7,1.0348e+05,0.051051,0.050932,0.0090604,0.0088599,1,0.0027993,0.050949,0.009,0
0.004878,30.565,37.771,53.033,5.5721e+20,2.6692e-05,613.8,-689.38,5895.1,4810.7,76.014,4909.7,1.0348e+05,0.051051,0.050932,0.0090604,0.0088599,1,0.0028444,0.050994,0.009,0
0.004878,30.565,37.771,53.033,5.5721e+20,2.6692e-05,613.8,-689.38,5895.1,4810.7,76.014,4909.7,1.0348e+05,0.051051,0.050932,0.0090604,0.0088599,1,0.0028896,0.05104,0.009,0
